"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "HTML", "Markdown", "XML", "comment", "blank", "total"
"f:\Code\React\Dofouse\Dofus-mini\src\utils\gamedesign\enemy-attack-generator.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"f:\Code\React\Dofouse\Dofus-mini\src\utils\gamedesign\enemy-generator.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"f:\Code\React\Dofouse\Dofus-mini\src\utils\gamedesign\player-attack-generator.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"f:\Code\React\Dofouse\Dofus-mini\src\utils\gamedesign\player-boost-generator.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"f:\Code\React\Dofouse\Dofus-mini\src\utils\gamedesign\player-generator.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"f:\Code\React\Dofouse\Dofus-mini\src\utils\music\handleAudio.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"f:\Code\React\Dofouse\Dofus-mini\src\utils\tools\getRandomNumber.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"f:\Code\React\Dofouse\Dofus-mini\src\utils\tools\windowControls.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\Code\React\Dofouse\Dofus-mini\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\Code\React\Dofouse\Dofus-mini\tailwind.config.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 87
"f:\Code\React\Dofouse\Dofus-mini\tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 3, 32
"f:\Code\React\Dofouse\Dofus-mini\tsconfig.node.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"f:\Code\React\Dofouse\Dofus-mini\vite.config.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 2, 29
"Total", "-", 109, 5756, 27, 362, 2730, 66, 13, 118, 38, 28, 415, 9662
